Location,Day,Hour,Weather,Exam_Week,Event_Day,Previous_Crowd,Crowd_Level
Library,Thursday,7,Hot,No,No,Low,Low
Sports Complex,Thursday,11,Normal,No,No,Low,Low
Bus Stop,Thursday,19,Normal,No,No,Low,High
Main Block,Friday,12,Rain,No,No,Low,Low
Library,Tuesday,13,Normal,Yes,No,High,High
Canteen,Tuesday,15,Rain,No,Yes,Low,Low
Bus Stop,Saturday,11,Normal,No,No,Low,Low
Canteen,Monday,9,Rain,No,No,Low,Low
Main Block,Monday,9,Normal,No,No,Low,Low
Sports Complex,Wednesday,13,Normal,No,No,Medium,Medium
Bus Stop,Monday,12,Normal,No,No,Low,High
Library,Friday,17,Rain,No,No,Low,Medium
Canteen,Monday,11,Normal,Yes,Yes,Medium,Low
Canteen,Thursday,15,Rain,Yes,Yes,Low,Medium
Cafeteria,Friday,7,Normal,No,No,Low,Low
Main Block,Wednesday,8,Normal,Yes,No,Low,Medium
Canteen,Monday,9,Rain,No,No,Low,Low
Bus Stop,Wednesday,9,Hot,No,No,Low,Low
Cafeteria,Tuesday,10,Normal,No,No,Low,Low
Canteen,Thursday,18,Normal,No,No,Medium,Medium
Cafeteria,Wednesday,18,Normal,No,No,Low,Medium
Canteen,Tuesday,11,Hot,No,No,Low,Low
Bus Stop,Saturday,14,Normal,No,No,Low,Medium
Canteen,Tuesday,7,Normal,Yes,Yes,Medium,High
Bus Stop,Monday,14,Normal,No,No,Medium,Medium
Canteen,Monday,12,Normal,No,Yes,High,High
Main Block,Wednesday,9,Normal,No,No,Low,Low
Main Block,Monday,21,Hot,No,No,Low,Low
Bus Stop,Thursday,14,Normal,Yes,Yes,High,High
Library,Wednesday,8,Normal,No,No,Low,Medium
Library,Wednesday,21,Normal,No,No,Low,Low
Bus Stop,Monday,15,Normal,No,No,Low,Low
Main Block,Tuesday,14,Hot,No,No,Medium,High
Bus Stop,Saturday,19,Normal,Yes,Yes,High,High
Canteen,Friday,9,Normal,No,Yes,Medium,High
Sports Complex,Wednesday,19,Normal,No,No,Low,Low
Cafeteria,Saturday,8,Hot,Yes,No,Low,Low
Main Block,Wednesday,21,Normal,No,No,Low,Low
Bus Stop,Monday,20,Rain,No,No,Low,Low
Bus Stop,Wednesday,18,Rain,Yes,No,Low,Medium
Canteen,Wednesday,21,Normal,Yes,No,Low,Low
Sports Complex,Wednesday,14,Rain,No,Yes,Medium,High
Cafeteria,Wednesday,9,Normal,No,No,Medium,Medium
Main Block,Tuesday,13,Hot,Yes,No,Low,Medium
Main Block,Monday,17,Hot,No,No,Low,Medium
Sports Complex,Tuesday,15,Normal,No,No,Low,Low
Main Block,Friday,8,Rain,No,Yes,Low,Medium
Cafeteria,Friday,21,Hot,No,No,Low,Low
Bus Stop,Wednesday,8,Normal,No,No,Low,Medium
Canteen,Monday,8,Normal,No,No,Low,Medium
Sports Complex,Tuesday,15,Normal,Yes,No,Low,Low
Cafeteria,Thursday,7,Normal,No,No,Low,Low
Library,Monday,14,Normal,No,No,Medium,High
Library,Tuesday,10,Rain,No,No,Low,Low
Canteen,Saturday,18,Normal,No,No,Low,Medium
Sports Complex,Wednesday,9,Normal,No,Yes,Low,High
Cafeteria,Monday,15,Normal,No,No,Low,Low
Cafeteria,Friday,21,Normal,No,No,Low,Medium
Cafeteria,Thursday,20,Normal,No,No,Low,Low
Bus Stop,Tuesday,21,Rain,Yes,No,Low,Low
Sports Complex,Tuesday,15,Hot,Yes,No,Low,Low
Sports Complex,Friday,8,Rain,Yes,No,Low,Low
Library,Tuesday,12,Normal,No,Yes,Medium,High
Main Block,Friday,8,Normal,No,No,Low,Low
Bus Stop,Wednesday,17,Rain,No,No,Low,Medium
Library,Wednesday,10,Normal,No,No,Low,Low
Sports Complex,Saturday,14,Hot,No,No,Low,Low
Canteen,Wednesday,16,Normal,No,No,Low,Low
Canteen,Tuesday,9,Rain,No,No,Low,Low
Bus Stop,Tuesday,18,Normal,No,No,Low,High
Canteen,Tuesday,18,Hot,No,No,Low,High
Canteen,Friday,7,Normal,No,Yes,Low,Medium
Library,Tuesday,12,Normal,No,No,Medium,High
Main Block,Wednesday,21,Rain,Yes,Yes,Low,Low
Canteen,Tuesday,20,Rain,Yes,No,Low,Low
Library,Tuesday,14,Normal,No,No,Medium,Medium
Sports Complex,Wednesday,16,Hot,No,No,Low,Low
Bus Stop,Tuesday,13,Normal,No,No,Medium,High
Main Block,Tuesday,16,Normal,Yes,No,Low,Medium
Main Block,Wednesday,11,Normal,Yes,No,Low,Low
Sports Complex,Friday,10,Normal,Yes,No,Low,Low
Main Block,Monday,19,Rain,No,No,Low,Medium
Bus Stop,Friday,7,Rain,No,Yes,Low,Medium
Bus Stop,Thursday,19,Normal,No,No,Medium,High
Cafeteria,Wednesday,18,Rain,No,No,Low,Medium
Library,Thursday,9,Normal,No,Yes,Medium,High
Library,Friday,16,Hot,No,No,Low,Low
Cafeteria,Thursday,12,Rain,Yes,No,Low,Medium
Bus Stop,Monday,13,Hot,Yes,No,Medium,High
Main Block,Tuesday,12,Hot,No,No,Low,Medium
Main Block,Tuesday,18,Normal,No,No,Medium,Medium
Cafeteria,Wednesday,10,Normal,No,No,Low,Low
Library,Thursday,8,Hot,No,No,Low,Medium
Library,Monday,9,Normal,Yes,No,Medium,High
Main Block,Thursday,8,Normal,No,No,Low,Low
Bus Stop,Tuesday,18,Normal,Yes,No,Medium,High
Library,Friday,17,Rain,No,Yes,Medium,High
Library,Thursday,11,Hot,No,No,Low,Low
Cafeteria,Thursday,9,Normal,No,No,Low,Low
Bus Stop,Wednesday,16,Normal,No,No,Medium,Low
Main Block,Wednesday,15,Normal,No,No,Low,Low
Main Block,Monday,14,Normal,No,No,Medium,High
Sports Complex,Wednesday,15,Normal,Yes,Yes,Low,Medium
Main Block,Monday,9,Normal,Yes,No,Low,Medium
Library,Thursday,11,Rain,No,No,Low,Low
Main Block,Saturday,13,Normal,No,No,Low,Low
Sports Complex,Saturday,8,Normal,No,No,Low,Low
Main Block,Tuesday,14,Normal,No,No,Low,Low
Library,Tuesday,16,Normal,No,No,Low,Medium
Library,Tuesday,15,Normal,Yes,No,Low,Medium
Main Block,Thursday,9,Normal,Yes,No,Low,Medium
Canteen,Thursday,7,Normal,No,No,Low,Low
Bus Stop,Monday,13,Hot,Yes,No,Medium,High
Canteen,Tuesday,19,Rain,No,No,Low,Low
Library,Wednesday,18,Normal,Yes,No,High,High
Bus Stop,Thursday,12,Normal,No,No,Medium,High
Bus Stop,Thursday,17,Normal,No,No,Medium,High
Main Block,Saturday,10,Normal,No,Yes,Low,Low
Canteen,Friday,17,Hot,No,No,Medium,Medium
Cafeteria,Thursday,21,Normal,No,No,Low,Low
Main Block,Friday,14,Normal,No,No,Low,Medium
Canteen,Tuesday,14,Normal,No,No,Low,High
Bus Stop,Friday,18,Normal,No,No,Low,Medium
Canteen,Monday,10,Rain,No,Yes,Medium,Medium
Library,Tuesday,7,Normal,No,No,Low,Low
Canteen,Friday,19,Normal,Yes,No,Medium,High
Library,Monday,10,Normal,No,No,Low,Medium
Bus Stop,Thursday,13,Normal,Yes,No,Medium,High
Main Block,Wednesday,19,Normal,Yes,No,Low,Medium
Canteen,Friday,14,Hot,Yes,No,Medium,High
Main Block,Thursday,11,Hot,Yes,No,Low,Low
Library,Saturday,20,Normal,No,No,Low,Low
Sports Complex,Wednesday,7,Normal,No,No,Low,Low
Bus Stop,Saturday,8,Normal,No,No,Low,Low
Bus Stop,Tuesday,13,Normal,No,No,Low,Medium
Canteen,Wednesday,19,Normal,No,No,Medium,High
Library,Tuesday,11,Normal,No,No,Low,Low
Sports Complex,Tuesday,17,Normal,No,Yes,High,High
Main Block,Saturday,10,Rain,No,No,Low,Low
Bus Stop,Wednesday,16,Normal,No,Yes,Medium,Medium
Canteen,Monday,18,Normal,Yes,No,Medium,Medium
Bus Stop,Tuesday,10,Normal,Yes,Yes,Low,Medium
Sports Complex,Saturday,7,Normal,No,No,Low,Low
Sports Complex,Wednesday,14,Rain,No,No,Low,Low
Sports Complex,Friday,7,Rain,Yes,No,Low,Low
Sports Complex,Monday,8,Normal,No,Yes,Medium,High
Bus Stop,Wednesday,7,Normal,No,No,Low,Low
Bus Stop,Tuesday,20,Normal,Yes,No,Low,Low
Main Block,Tuesday,17,Rain,No,No,Low,Medium
Canteen,Friday,21,Normal,No,No,Medium,Medium
Main Block,Monday,12,Rain,Yes,No,Low,Medium
Canteen,Saturday,15,Hot,Yes,No,Low,Low
Bus Stop,Monday,17,Hot,No,No,Medium,High
Canteen,Monday,8,Hot,No,No,Low,Low
Bus Stop,Tuesday,15,Normal,No,Yes,Medium,Medium
Library,Thursday,20,Normal,No,No,Low,Low
Library,Wednesday,20,Normal,Yes,No,Medium,High
Library,Tuesday,15,Normal,No,No,Low,Low
Bus Stop,Thursday,10,Normal,No,No,Low,Low
Main Block,Saturday,21,Normal,Yes,No,Low,Low
Bus Stop,Friday,19,Normal,No,No,Low,Medium
Canteen,Thursday,20,Normal,No,No,Low,Low
Library,Thursday,11,Normal,No,No,Low,Low
Sports Complex,Thursday,10,Normal,No,No,Low,Low
Canteen,Monday,21,Hot,No,No,Low,Low
Library,Wednesday,17,Normal,No,No,Low,Medium
Bus Stop,Tuesday,18,Normal,Yes,No,Low,Medium
Canteen,Monday,12,Normal,Yes,No,Low,Medium
Library,Thursday,13,Normal,No,No,Medium,Medium
Cafeteria,Friday,14,Normal,No,Yes,High,High
Main Block,Tuesday,7,Normal,No,No,Low,Low
Canteen,Friday,17,Normal,No,No,Medium,High
Bus Stop,Saturday,13,Rain,Yes,No,Low,Medium
Cafeteria,Tuesday,9,Normal,No,No,Low,Medium
Library,Tuesday,19,Normal,No,No,Medium,High
Main Block,Tuesday,12,Normal,Yes,Yes,Medium,High
Canteen,Friday,8,Normal,No,No,Low,Medium
Sports Complex,Tuesday,8,Normal,Yes,No,Low,Medium
Main Block,Friday,12,Normal,No,No,Medium,High
Cafeteria,Saturday,19,Normal,No,No,Medium,High
Bus Stop,Monday,19,Normal,Yes,No,High,High
Main Block,Monday,20,Rain,No,No,Low,Low
Cafeteria,Tuesday,20,Hot,No,No,Low,Low
Sports Complex,Monday,17,Normal,No,No,Low,Medium
Bus Stop,Thursday,18,Rain,No,No,Low,Medium
Canteen,Tuesday,15,Normal,No,No,Low,Medium
Library,Friday,20,Normal,No,No,Low,Low
Main Block,Wednesday,19,Normal,Yes,Yes,High,High
Sports Complex,Wednesday,21,Normal,No,No,Low,Low
Main Block,Monday,10,Normal,No,No,Low,Low
Sports Complex,Wednesday,21,Normal,No,No,Low,Low
Sports Complex,Friday,15,Normal,Yes,No,Low,Low
Cafeteria,Wednesday,17,Normal,Yes,No,Low,Medium
Library,Thursday,13,Normal,Yes,No,High,High
Sports Complex,Monday,21,Hot,No,No,Low,Low
Main Block,Monday,20,Hot,No,No,Low,Low
Bus Stop,Wednesday,7,Normal,No,No,Low,Low
Canteen,Tuesday,13,Normal,No,No,Medium,Medium
Library,Thursday,21,Normal,No,Yes,Medium,High
Main Block,Wednesday,7,Normal,No,Yes,Medium,Medium
Sports Complex,Monday,16,Rain,No,No,Low,Medium
Sports Complex,Monday,15,Hot,Yes,No,Low,Low
Canteen,Wednesday,20,Normal,No,No,Low,Low
Cafeteria,Monday,12,Normal,No,Yes,High,High
Sports Complex,Wednesday,19,Normal,No,Yes,Medium,High
Library,Thursday,17,Normal,No,No,Low,Medium
Library,Wednesday,11,Hot,No,No,Low,Low
Library,Saturday,9,Normal,No,No,Low,Low
Library,Monday,15,Hot,No,No,Low,Low
Library,Friday,14,Normal,No,No,Medium,High
Library,Friday,12,Rain,No,No,Medium,Medium
Main Block,Friday,17,Normal,No,No,Low,Medium
Library,Friday,17,Normal,No,No,Low,Medium
Canteen,Thursday,12,Normal,No,No,Medium,Medium
Cafeteria,Wednesday,8,Rain,No,No,Low,Low
Canteen,Thursday,14,Normal,No,No,Low,Medium
Bus Stop,Saturday,12,Hot,No,No,Low,Medium
Canteen,Wednesday,12,Hot,No,No,Low,Medium
Main Block,Wednesday,14,Normal,Yes,No,Medium,Medium
Library,Monday,20,Hot,No,No,Low,Medium
Cafeteria,Wednesday,20,Normal,No,No,Low,Low
Canteen,Wednesday,19,Hot,Yes,No,Medium,High
Library,Wednesday,18,Normal,No,No,Low,High
Canteen,Friday,9,Normal,No,No,Low,Low
Canteen,Tuesday,7,Rain,Yes,No,Low,Medium
Main Block,Thursday,17,Normal,No,No,Medium,Medium
Canteen,Saturday,14,Rain,No,No,Low,Low
Sports Complex,Monday,13,Rain,No,No,Low,Low
Canteen,Monday,18,Normal,No,No,Medium,High
Cafeteria,Saturday,8,Normal,No,Yes,Low,Medium
Main Block,Thursday,14,Normal,No,No,Medium,High
Canteen,Thursday,16,Normal,No,No,Low,Medium
Canteen,Monday,10,Rain,Yes,Yes,Low,Medium
Cafeteria,Wednesday,20,Hot,No,No,Low,Low
Sports Complex,Friday,7,Normal,No,No,Low,Low
Bus Stop,Friday,13,Rain,No,No,Low,Medium
Canteen,Friday,12,Normal,No,No,Medium,High
Canteen,Friday,13,Normal,No,No,Medium,High
Main Block,Saturday,13,Normal,No,No,Low,Low
Library,Monday,16,Normal,Yes,No,Low,Medium
Canteen,Thursday,20,Normal,No,Yes,Low,Medium
Bus Stop,Wednesday,13,Normal,Yes,Yes,High,High
Cafeteria,Tuesday,13,Hot,Yes,Yes,Medium,High
Cafeteria,Thursday,7,Hot,Yes,No,Low,Low
Bus Stop,Wednesday,13,Normal,No,No,Medium,High
Canteen,Saturday,20,Normal,No,Yes,Low,Medium
Bus Stop,Monday,19,Hot,Yes,No,Medium,High
Canteen,Thursday,10,Normal,No,No,Low,Medium
Main Block,Thursday,15,Normal,No,No,Low,Low
Canteen,Tuesday,10,Normal,No,No,Low,Low
Library,Wednesday,8,Rain,No,No,Low,Low
Canteen,Saturday,11,Normal,No,No,Low,Low
Sports Complex,Monday,18,Normal,No,No,Low,Medium
Library,Wednesday,15,Rain,Yes,No,Low,Low
Cafeteria,Thursday,10,Hot,No,No,Low,Low
Canteen,Tuesday,17,Normal,No,No,Low,High
Main Block,Tuesday,20,Normal,No,No,Low,Low
Canteen,Friday,15,Normal,No,No,Low,Low
Cafeteria,Monday,11,Rain,No,No,Low,Low
Library,Thursday,8,Hot,Yes,No,Medium,Medium
Bus Stop,Thursday,9,Normal,No,No,Low,Medium
Main Block,Monday,11,Normal,No,No,Low,Low
Canteen,Tuesday,15,Normal,No,No,Low,Low
Cafeteria,Saturday,16,Normal,No,Yes,Low,Medium
Cafeteria,Wednesday,13,Normal,Yes,No,Medium,High
Library,Friday,16,Normal,No,No,Low,Medium
Bus Stop,Monday,14,Rain,No,No,Low,Low
Cafeteria,Thursday,21,Normal,No,Yes,Low,Medium
Main Block,Tuesday,20,Normal,No,No,Low,Low
Bus Stop,Monday,10,Normal,No,No,Low,Low
Library,Saturday,17,Normal,No,No,Low,Medium
Sports Complex,Tuesday,18,Normal,No,No,Medium,Medium
Canteen,Thursday,19,Normal,Yes,No,Medium,High
Library,Tuesday,11,Normal,Yes,No,Low,Medium
Sports Complex,Monday,17,Rain,No,No,Low,Low
Bus Stop,Tuesday,7,Normal,No,Yes,Medium,High
Main Block,Thursday,9,Normal,Yes,No,Low,Medium
Library,Tuesday,19,Normal,Yes,No,High,High
Sports Complex,Monday,7,Normal,No,Yes,Low,Medium
Cafeteria,Saturday,17,Rain,No,No,Low,Low
Sports Complex,Wednesday,17,Normal,No,No,Low,Medium
Canteen,Monday,7,Rain,No,Yes,Low,Low
Canteen,Thursday,14,Normal,No,No,Medium,Low
Sports Complex,Friday,17,Hot,No,No,Low,Medium
Canteen,Monday,10,Normal,No,No,Low,Medium
Canteen,Friday,8,Normal,Yes,No,Low,Medium
Main Block,Friday,11,Normal,No,No,Low,Low
Bus Stop,Wednesday,17,Normal,No,Yes,Medium,Medium
Sports Complex,Tuesday,10,Normal,No,No,Low,Low
Canteen,Thursday,12,Normal,No,No,Medium,Medium
Cafeteria,Tuesday,21,Normal,No,Yes,Low,Medium
Canteen,Monday,14,Rain,Yes,No,Low,Medium
Library,Friday,12,Normal,No,No,Medium,High
Main Block,Friday,21,Normal,No,No,Low,Low
Canteen,Tuesday,8,Normal,No,No,Low,Low
Bus Stop,Tuesday,8,Rain,No,No,Low,Low
Main Block,Wednesday,19,Normal,No,No,Low,Medium
Canteen,Monday,14,Normal,Yes,No,Medium,High
Cafeteria,Tuesday,14,Rain,Yes,Yes,Medium,High
Bus Stop,Thursday,7,Rain,No,No,Low,High
Bus Stop,Tuesday,8,Normal,Yes,No,Medium,Medium
Bus Stop,Friday,21,Normal,No,No,Low,Low
Canteen,Wednesday,13,Rain,No,No,Low,Medium
Canteen,Monday,17,Normal,No,No,Medium,High
Cafeteria,Thursday,19,Normal,No,No,Medium,High
Main Block,Thursday,11,Normal,No,No,Low,Low
Canteen,Wednesday,17,Normal,No,No,Medium,High
Sports Complex,Saturday,13,Normal,Yes,No,Low,Low
Bus Stop,Tuesday,20,Rain,No,Yes,Low,Medium
Canteen,Monday,9,Rain,No,Yes,Medium,High
Sports Complex,Friday,19,Normal,No,No,Low,Medium
Canteen,Wednesday,19,Normal,No,No,Low,Medium
Canteen,Friday,11,Normal,No,No,Low,Low
Canteen,Friday,19,Hot,No,No,Medium,High
Library,Monday,9,Normal,No,Yes,Low,High
Library,Monday,15,Normal,No,No,Low,Low
Library,Friday,7,Normal,Yes,Yes,High,High
Sports Complex,Saturday,17,Normal,No,No,Low,Low
Library,Friday,8,Normal,No,No,Low,Low
Bus Stop,Thursday,18,Normal,No,No,Low,Medium
Sports Complex,Thursday,11,Rain,No,No,Low,Low
Library,Wednesday,13,Normal,Yes,No,Medium,High
Main Block,Thursday,18,Normal,No,No,Medium,High
Cafeteria,Thursday,18,Normal,No,No,Medium,High
Sports Complex,Thursday,8,Hot,No,No,Low,Low
Cafeteria,Friday,21,Normal,No,Yes,Low,Medium
Bus Stop,Monday,20,Rain,No,Yes,Low,Low
Canteen,Thursday,9,Rain,No,No,Low,Low
Sports Complex,Thursday,15,Normal,No,No,Low,Low
Canteen,Friday,20,Hot,No,No,Low,Low
Main Block,Wednesday,15,Normal,No,No,Low,Low
Library,Saturday,20,Rain,No,No,Low,Low
Main Block,Monday,10,Normal,No,No,Low,Low
Main Block,Monday,11,Rain,No,No,Low,Low
Main Block,Wednesday,8,Rain,No,No,Low,Low
Canteen,Monday,14,Hot,No,No,Medium,Medium
Library,Monday,7,Normal,No,Yes,Low,Medium
Library,Tuesday,14,Rain,No,No,Low,Medium
Main Block,Wednesday,12,Normal,No,No,Low,Medium
Main Block,Thursday,9,Normal,No,No,Low,Low
Canteen,Saturday,14,Normal,No,Yes,High,High
Main Block,Wednesday,15,Normal,Yes,No,Low,Low
Main Block,Tuesday,10,Normal,No,No,Low,Low
Library,Tuesday,12,Normal,Yes,No,High,High
Library,Saturday,14,Rain,No,No,Low,Low
Bus Stop,Thursday,20,Normal,No,No,Low,Low
Sports Complex,Tuesday,20,Normal,Yes,No,Low,Low
Bus Stop,Tuesday,15,Normal,No,No,Low,Low
Canteen,Thursday,16,Normal,No,No,Low,Low
Canteen,Wednesday,8,Hot,No,No,Low,Low
Canteen,Tuesday,10,Normal,No,No,Low,High
Main Block,Friday,17,Rain,No,No,Low,Low
Cafeteria,Wednesday,17,Normal,No,No,Low,Medium
Main Block,Friday,19,Hot,No,No,Medium,Medium
Sports Complex,Tuesday,14,Rain,No,No,Low,Low
Bus Stop,Monday,17,Rain,No,No,Low,Medium
Canteen,Wednesday,18,Rain,No,No,Low,Medium
Sports Complex,Monday,13,Hot,No,Yes,Low,High
Main Block,Wednesday,10,Rain,No,No,Low,Low
Main Block,Friday,12,Normal,No,Yes,Medium,High
Canteen,Friday,11,Normal,No,No,Low,Low
Library,Thursday,20,Normal,No,Yes,Low,Medium
Cafeteria,Thursday,14,Normal,No,Yes,Medium,High
